"","id","titulo_projeto","categorias","cat2","existe"
"131","ANEEL-PD-00063-0033","PA0033 - ELEMENTO HÍBRIDO DE BAIXO CUSTO PARA CONCENTRAÇÃO E COMUNICAÇÃO ENTRE MEDIDOR E SE","nenhuma categoria encontrada",6.2,"sim"
"132","ANEEL-PD-00063-0018","CS0018 - CONDICIONADOR DUAL EFICIENTE DE BAIXO CUSTO","1.4",1.2,"sim"
"133","ANEEL-PD-00063-0031","PA0031 - METODOLOGIA PARA APOIO À DECISÃO SOBRE INVESTIMENTO EM PLANEJAMENTO","7.1",7.1,"sim"
"134","ANEEL-PD-00063-0038","CS0038 - SISTEMA DE DIAGNÓSTICO DE FALHA EM PONTO DE IP","nenhuma categoria encontrada",6.2,"sim"
"135","ANEEL-PD-00063-0023","PA0023 - CONEXÃO DE CARGAS EM PONTOS DE DHT CRÍTICA","nenhuma categoria encontrada",6.2,"sim"
"136","ANEEL-PD-00063-0026","PB0026 - ESTUDO DOS IMPACTOS DA INSERÇÃO DE MICRORREDES E MICROGERAÇÃO EM SISTEMAS DE DISTRIBUIÇÃO","7.1",7.1,"sim"
"137","ANEEL-PD-00063-0036","PA0036 - CENÁRIOS ECONÔMICOS MUNICIPAIS PARA PROJEÇÃO REGIONAL DE MERCADO","nenhuma categoria encontrada",7.1,"sim"
"138","ANEEL-PD-00063-0025","PA0025 - CAMPANHA OTIMIZADA DE MEDIÇÃO","nenhuma categoria encontrada",6.2,"sim"
"139","ANEEL-PD-00063-0016","CS0016 - FILTRO HÍBRIDO PARA APLICAÇÕES DE BAIXO CUSTO","nenhuma categoria encontrada",6.2,"sim"
"140","ANEEL-PD-00063-0037","PA0037 - MATRIZ DE REUSO E DESCARTE LIMPO NA CPFL","nenhuma categoria encontrada",6.2,"sim"
"141","ANEEL-PD-00063-0024","CS0024 - OTIMIZAÇÃO DOS RECURSOS DE MANUTENÇÃO","nenhuma categoria encontrada",6.2,"sim"
"142","ANEEL-PD-00063-0039","DE0039 - DESENVOLVIMENTO DE PROCESSO: FABRICAÇÃO DE SF6","nenhuma categoria encontrada",6.2,"sim"
"143","ANEEL-PD-00063-0027","DE0027 - SMART SUBSTATION","6.2",6.2,"sim"
"144","ANEEL-PD-00385-0036","Monitoramento de conexões e emendas em subestações","6.2",6.2,"sim"
"145","ANEEL-PD-00394-0909","Elaborar metodologia de avaliação global dos impactos causados por programas de conservação de energia, enquanto instrumentos de política pública","1.4",NA,"não"
"146","ANEEL-PD-04951-0345","PB - Desenvolvimento de ferramentas moleculares (DNA) para monitoramento ambiental de peixes e plantéis de piscicultura.","nenhuma categoria encontrada",6.1,"sim"
"147","ANEEL-PD-02608-1101","Efeitos do Tratamento Criogênico e do Revestimento de Nitreto de Titânio na Fadiga sob Fretting e no Desgaste Abrasivo de Ligas de Alumínio utilizadas na Fabricação de Cabos e Grampos de Suspensão","7.1",7.1,"sim"
"148","ANEEL-PD-00063-0035","DE0035 - TMADP: TRANSFORMADOR MÓVEL DE ALTA DENSIDADE DE POTÊNCIA PARA TRÁFEGO SEM LICENÇA ESPECIAL","""3.1"", ""5.2"", ""6.2""",6.2,"sim"
"149","ANEEL-PD-00063-0030","PA0030 - NOVOS PADRÕES DE REDE SOB DESCARGAS ATMOSFÉRICAS DIRETAS","6.2",6.2,"sim"
"150","ANEEL-PD-04951-0333","PA - Desenvolvimento de um sistema para aumento da eficiência do controle conjunto de tensão e potência na geração de energia elétrica com emprego de técnicas de Inteligência Computacional","""1.4"", ""6.2""",1.4,"sim"
"151","ANEEL-PD-06072-0246","Otimização dos padrões de redes rurais - adequados aos indicadores da empresa de referência da ANEEL","""6.2"", ""7.1""",NA,"não"
"152","ANEEL-PD-04825-0004","Desenvolvimento de um sistema de radiografia computadorizado para inspeção dos isoladores de compósito em linhas de transmissão de 500 kV energizadas","6.2",6.2,"sim"
"153","ANEEL-PD-04825-0003","Desenvolvimento de Processo de Diagnóstico e Equipamento para Detecção de Defeitos em Hastes de Torres de Linhas de Transmissão","6.2",6.2,"sim"
